rssi_percs_25,rxWeightedPhyRate,txWeightedPhyRate
-85,17.703504043126685,37.53028890959926
-84,19.292487235594457,42.376288659793815
-83,25.659562841530054,57.227222222222224
-82,32.87765151515151,76.71669865642994
-81,40.95934530095037,97.43203883495146
-80,44.81518010291595,91.22880069399262
-79,51.18773109243698,98.48148148148148
-78,60.328391608391605,103.19968776610843
-77,66.88742182070882,108.43319118692253
-76,71.96003000428632,116.84094401756312
-75,79.72505129639993,123.69785612196284
-74,87.1469146238377,127.33281439197371
-73,94.70529776011008,133.2055289405482
-72,95.0297699594046,135.00519271557084
-71,101.77596069722054,141.318803886684
-70,109.72439824268301,147.63503420573653
-69,117.30210412271198,149.69542824074074
-68,128.9177097341471,159.27783949637623
-67,144.85011028674555,174.08673705897502
-66,171.17258483218987,200.02199002612207
-65,195.82100464476173,219.44641589779985
